Type,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Gender,Senior_Citizen,Partner,Dependents,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Year,Month,Day,dow
two year,no,credit card,111.75,7511.3,female,0,yes,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,2014,6,1,6
two year,no,bank transfer,23.65,1416.75,female,0,yes,no,yes,no,no,no,no,no,no,no,2014,12,1,0
month-to-month,yes,electronic check,69.6,69.6,female,1,no,no,no,fiber optic,no,no,no,no,no,no,2019,12,1,6
one year,yes,credit card,84.3,5289.05,male,0,no,no,yes,fiber optic,yes,yes,no,no,no,no,2014,10,1,2
month-to-month,yes,mailed check,46.1,130.15,female,0,yes,no,no,dsl,no,no,no,no,no,no,2019,11,1,4
month-to-month,yes,mailed check,19.65,38.8,male,0,no,no,no,no,no,no,no,no,no,no,2019,12,1,6
two year,no,bank transfer,20.25,717.95,female,0,yes,yes,no,no,no,no,no,no,no,no,2017,2,1,2
two year,no,bank transfer,76.15,4929.55,male,0,yes,no,yes,dsl,yes,no,yes,yes,no,yes,2014,9,1,0
one year,yes,bank transfer,19.45,600.25,male,0,yes,yes,no,no,no,no,no,no,no,no,2017,5,1,0
two year,yes,credit card,108.0,5760.65,male,0,no,no,yes,fiber optic,yes,yes,no,yes,yes,yes,2015,8,1,5
month-to-month,yes,electronic check,88.85,929.45,female,0,yes,yes,no,fiber optic,no,no,no,no,yes,yes,2019,4,1,0
two year,no,bank transfer,76.95,4543.95,male,0,yes,yes,no,dsl,no,yes,no,yes,yes,yes,2015,2,1,6
one year,no,credit card,24.8,1600.95,male,0,no,no,yes,no,no,no,no,no,no,no,2014,9,1,0
two year,yes,credit card,104.9,7559.55,male,0,yes,yes,no,fiber optic,yes,no,yes,yes,yes,yes,2014,2,1,5
month-to-month,yes,bank transfer,98.1,2510.7,female,1,yes,no,yes,fiber optic,no,no,yes,no,yes,yes,2017,12,1,4
month-to-month,yes,credit card,100.05,4834.0,female,0,yes,no,no,fiber optic,no,no,yes,yes,yes,yes,2016,2,1,0
month-to-month,yes,credit card,81.3,3190.65,female,0,no,no,yes,fiber optic,yes,no,no,no,no,no,2016,9,1,3
month-to-month,yes,electronic check,88.8,3340.55,female,0,yes,yes,yes,fiber optic,no,yes,no,no,yes,no,2017,1,1,6
one year,no,electronic check,110.5,6139.5,female,1,no,no,yes,fiber optic,yes,yes,yes,no,yes,yes,2015,6,1,0
one year,no,mailed check,19.9,173.15,female,0,no,no,no,no,no,no,no,no,no,no,2019,7,1,0
month-to-month,yes,mailed check,80.3,324.2,female,0,no,no,yes,fiber optic,no,yes,no,no,no,no,2019,10,1,1
month-to-month,yes,credit card,99.65,6951.15,female,1,no,no,yes,fiber optic,no,yes,no,no,yes,yes,2014,3,1,5
month-to-month,yes,electronic check,98.9,5780.7,male,1,yes,no,yes,fiber optic,no,yes,no,no,yes,yes,2015,4,1,2
two year,no,bank transfer,19.65,978.0,male,0,no,no,no,no,no,no,no,no,no,no,2015,9,1,1
month-to-month,no,electronic check,89.45,2807.65,male,1,yes,no,yes,fiber optic,yes,no,no,no,yes,no,2017,7,1,5
month-to-month,yes,bank transfer,55.7,335.65,male,0,no,no,no,dsl,yes,yes,no,no,no,no,2019,8,1,3
two year,yes,bank transfer,66.15,3199.0,male,0,no,no,yes,dsl,no,no,no,yes,yes,no,2016,1,1,4
one year,no,bank transfer,58.2,469.25,female,0,no,no,no,dsl,yes,yes,no,yes,no,no,2019,6,1,5
one year,yes,mailed check,20.05,417.0,female,1,no,no,no,no,no,no,no,no,no,no,2018,4,1,6
month-to-month,yes,electronic check,84.45,2467.1,male,0,yes,no,yes,fiber optic,yes,yes,no,no,no,no,2017,8,1,1
month-to-month,yes,electronic check,79.55,718.55,male,1,no,no,no,fiber optic,no,no,no,no,no,yes,2019,5,1,2
one year,no,electronic check,20.55,99.45,male,0,yes,yes,no,no,no,no,no,no,no,no,2019,9,1,6
month-to-month,yes,electronic check,85.35,758.6,male,0,no,no,yes,fiber optic,no,no,no,no,yes,no,2019,4,1,0
one year,yes,credit card,108.05,7118.9,female,0,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes,2014,9,1,0
month-to-month,yes,bank transfer,101.45,2948.6,male,1,no,no,no,fiber optic,no,yes,yes,no,yes,yes,2017,9,1,4
month-to-month,yes,credit card,79.55,958.25,female,0,no,no,yes,fiber optic,no,no,no,yes,no,no,2019,2,1,4
one year,no,mailed check,100.9,5448.6,female,0,yes,yes,yes,fiber optic,yes,no,no,no,yes,yes,2015,7,1,2
two year,no,credit card,25.05,1629.2,male,0,yes,no,yes,no,no,no,no,no,no,no,2014,6,1,6
month-to-month,yes,electronic check,105.35,3540.65,male,0,no,no,yes,fiber optic,no,yes,no,yes,yes,yes,2017,4,1,5
one year,no,mailed check,53.65,1939.35,male,0,yes,yes,no,dsl,yes,yes,no,no,no,no,2017,2,1,2
two year,no,mailed check,25.2,387.9,female,0,yes,no,yes,no,no,no,no,no,no,no,2018,11,1,3
month-to-month,yes,mailed check,51.65,524.5,male,0,no,no,no,dsl,yes,no,no,no,no,no,2019,4,1,0
two year,no,mailed check,71.1,213.35,female,0,no,no,no,dsl,yes,yes,no,yes,no,yes,2019,11,1,4
month-to-month,yes,credit card,86.1,3551.65,male,0,yes,no,no,fiber optic,yes,yes,yes,no,no,no,2016,7,1,4
month-to-month,no,mailed check,20.05,163.6,female,0,no,yes,no,no,no,no,no,no,no,no,2019,6,1,5
two year,yes,bank transfer,19.6,1387.45,male,0,yes,yes,no,no,no,no,no,no,no,no,2014,3,1,5
month-to-month,yes,credit card,48.95,273.25,female,0,yes,yes,yes,dsl,no,no,no,no,no,no,2019,8,1,3
month-to-month,yes,electronic check,49.55,49.55,female,1,yes,no,no,dsl,yes,no,no,no,no,no,2019,12,1,6
one year,yes,credit card,105.65,6903.1,male,0,no,no,yes,fiber optic,no,yes,no,yes,yes,yes,2014,9,1,0
one year,no,mailed check,56.9,2560.1,male,0,yes,yes,no,dsl,yes,no,yes,yes,no,no,2016,4,1,4
month-to-month,yes,electronic check,90.75,90.75,male,0,yes,no,no,fiber optic,no,no,no,no,yes,yes,2019,12,1,6
two year,yes,bank transfer,84.2,5986.55,female,0,yes,yes,yes,dsl,yes,no,yes,yes,yes,yes,2014,2,1,5
two year,no,credit card,19.8,641.35,female,0,yes,yes,no,no,no,no,no,no,no,no,2017,5,1,0
one year,yes,bank transfer,109.55,3608.0,female,0,no,no,yes,fiber optic,yes,no,yes,yes,yes,yes,2017,6,1,3
month-to-month,yes,mailed check,20.5,104.3,female,0,no,no,no,no,no,no,no,no,no,no,2019,9,1,6
month-to-month,no,electronic check,80.55,184.1,female,0,no,no,no,fiber optic,no,no,no,no,no,yes,2019,11,1,4
month-to-month,yes,credit card,82.65,1470.05,female,1,no,no,yes,fiber optic,no,no,yes,no,no,no,2018,9,1,5
month-to-month,no,credit card,20.35,122.0,male,0,no,yes,no,no,no,no,no,no,no,no,2019,9,1,6
month-to-month,yes,electronic check,24.0,226.55,male,0,no,no,yes,no,no,no,no,no,no,no,2019,4,1,0
one year,yes,credit card,56.3,2364.0,female,0,no,no,yes,dsl,no,yes,no,no,no,no,2016,9,1,3
one year,no,bank transfer,99.9,6137.0,female,0,no,no,yes,fiber optic,no,yes,no,no,yes,yes,2014,10,1,2
one year,no,mailed check,20.15,419.9,male,0,yes,yes,no,no,no,no,no,no,no,no,2018,4,1,6
one year,yes,electronic check,103.7,4730.6,female,0,no,no,no,fiber optic,yes,no,yes,yes,yes,yes,2016,3,1,1
two year,yes,credit card,74.2,4805.65,male,0,no,no,yes,dsl,no,yes,yes,yes,no,yes,2014,9,1,0
month-to-month,yes,credit card,100.15,908.55,female,1,no,no,yes,fiber optic,no,no,no,yes,yes,yes,2019,6,1,5
one year,yes,electronic check,89.2,3251.3,male,0,no,no,no,fiber optic,yes,no,no,yes,no,yes,2017,3,1,2
two year,yes,bank transfer,111.3,7567.2,male,0,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes,2014,7,1,1
month-to-month,yes,electronic check,83.05,1258.3,female,1,yes,no,yes,fiber optic,no,no,yes,yes,no,no,2018,10,1,0
month-to-month,no,electronic check,78.05,78.05,female,0,no,no,no,fiber optic,no,no,no,no,yes,no,2019,12,1,6
month-to-month,yes,mailed check,58.95,601.6,female,0,no,no,yes,dsl,no,no,no,no,no,yes,2019,3,1,4
month-to-month,yes,electronic check,104.95,5222.35,female,1,no,no,yes,fiber optic,no,no,yes,yes,yes,yes,2015,12,1,1
one year,no,mailed check,19.45,270.2,male,0,no,no,no,no,no,no,no,no,no,no,2019,1,1,1
two year,no,bank transfer,110.3,6997.3,female,0,yes,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,2014,10,1,2
month-to-month,yes,electronic check,80.35,253.8,male,0,no,no,no,fiber optic,no,no,no,no,no,yes,2019,11,1,4
one year,yes,credit card,85.45,6028.95,male,0,no,yes,yes,fiber optic,yes,yes,no,no,no,no,2014,3,1,5
month-to-month,no,bank transfer,20.15,238.15,female,0,no,no,no,no,no,no,no,no,no,no,2019,5,1,2
month-to-month,yes,electronic check,20.5,76.95,male,0,no,no,no,no,no,no,no,no,no,no,2019,11,1,4
two year,yes,mailed check,19.95,927.1,female,0,yes,yes,no,no,no,no,no,no,no,no,2016,4,1,4
month-to-month,yes,credit card,80.3,4896.35,male,0,yes,yes,no,fiber optic,no,yes,yes,no,no,no,2014,11,1,5
two year,yes,credit card,108.55,7616.0,male,0,yes,no,yes,fiber optic,yes,no,yes,yes,yes,yes,2014,3,1,5
month-to-month,yes,electronic check,69.35,341.6,female,1,yes,no,no,fiber optic,no,no,no,no,no,no,2019,9,1,6
two year,yes,bank transfer,25.3,1748.55,female,0,yes,yes,yes,no,no,no,no,no,no,no,2014,9,1,0
month-to-month,yes,electronic check,100.3,4222.95,male,0,no,no,yes,fiber optic,no,no,no,yes,yes,yes,2016,8,1,0
month-to-month,yes,mailed check,74.75,238.1,female,0,no,no,no,fiber optic,no,no,yes,no,no,no,2019,11,1,4
month-to-month,no,electronic check,54.95,1348.5,male,0,no,no,no,dsl,yes,no,no,yes,no,no,2018,2,1,3
two year,no,mailed check,20.55,1357.1,male,0,no,yes,no,no,no,no,no,no,no,no,2014,8,1,4
two year,no,credit card,19.8,475.2,female,0,no,no,no,no,no,no,no,no,no,no,2018,1,1,0
one year,yes,credit card,99.75,5608.4,female,0,yes,yes,yes,fiber optic,no,yes,yes,yes,no,yes,2015,6,1,0
one year,yes,bank transfer,105.1,5376.4,male,1,yes,no,yes,fiber optic,no,yes,yes,no,yes,yes,2015,10,1,3
two year,no,mailed check,25.1,611.45,female,0,yes,yes,yes,no,no,no,no,no,no,no,2018,3,1,3
one year,yes,mailed check,26.8,733.55,female,0,yes,no,yes,no,no,no,no,no,no,no,2018,1,1,0
month-to-month,yes,electronic check,101.35,3334.9,female,0,no,no,yes,fiber optic,no,no,yes,no,yes,yes,2017,6,1,3
month-to-month,yes,electronic check,50.15,762.25,female,0,no,no,no,dsl,yes,no,no,no,no,no,2018,9,1,5
month-to-month,yes,bank transfer,88.45,2130.55,female,1,yes,yes,no,fiber optic,no,yes,yes,no,no,yes,2018,3,1,3
one year,yes,bank transfer,20.05,923.1,female,0,yes,no,no,no,no,no,no,no,no,no,2016,1,1,4
two year,no,credit card,19.4,1023.95,female,0,no,no,no,no,no,no,no,no,no,no,2015,12,1,1
one year,no,mailed check,19.9,543.0,female,0,yes,yes,no,no,no,no,no,no,no,no,2017,10,1,6
one year,no,credit card,19.45,921.3,female,0,no,yes,no,no,no,no,no,no,no,no,2016,1,1,4
month-to-month,yes,bank transfer,95.05,1679.4,female,0,no,no,yes,fiber optic,no,no,yes,yes,no,yes,2018,8,1,2
two year,yes,bank transfer,71.45,5025.85,female,0,yes,yes,yes,dsl,yes,no,yes,no,yes,no,2014,2,1,5
month-to-month,yes,electronic check,95.25,3314.15,female,0,yes,yes,yes,fiber optic,no,no,no,no,yes,yes,2017,1,1,6
month-to-month,no,bank transfer,81.4,3775.85,male,0,yes,no,yes,fiber optic,no,yes,no,no,no,no,2016,5,1,6
month-to-month,yes,bank transfer,45.0,865.85,male,0,no,no,no,dsl,no,no,no,no,no,no,2018,7,1,6
one year,yes,mailed check,19.8,572.2,male,0,no,no,no,no,no,no,no,no,no,no,2017,9,1,4
one year,no,credit card,103.9,6449.15,male,0,yes,yes,no,fiber optic,no,yes,yes,yes,yes,yes,2015,1,1,3
month-to-month,yes,electronic check,45.9,199.75,male,0,no,no,no,dsl,no,no,no,no,no,no,2019,10,1,1
month-to-month,yes,electronic check,103.65,3988.5,female,0,no,no,yes,fiber optic,no,no,yes,yes,yes,yes,2016,12,1,3
month-to-month,no,electronic check,19.9,57.4,female,0,no,no,no,no,no,no,no,no,no,no,2019,12,1,6
month-to-month,no,mailed check,20.65,38.7,female,0,no,no,no,no,no,no,no,no,no,no,2019,11,1,4
month-to-month,yes,credit card,75.35,3161.4,male,0,no,no,yes,fiber optic,no,no,no,no,no,no,2016,7,1,4
month-to-month,no,bank transfer,46.05,80.35,male,0,no,no,no,dsl,no,no,no,no,no,no,2019,11,1,4
month-to-month,yes,mailed check,49.7,1218.25,male,0,no,no,no,dsl,no,yes,no,no,no,no,2018,2,1,3
two year,yes,mailed check,68.3,4378.8,female,0,yes,no,no,dsl,no,yes,yes,yes,no,yes,2014,10,1,2
two year,no,credit card,19.4,1363.25,male,0,yes,yes,no,no,no,no,no,no,no,no,2014,2,1,5
month-to-month,yes,mailed check,56.15,1439.35,female,0,no,no,no,dsl,no,yes,no,yes,no,no,2017,11,1,2
one year,yes,electronic check,73.0,2471.25,male,1,no,no,no,dsl,no,no,yes,yes,yes,yes,2017,3,1,2
one year,yes,credit card,95.85,5016.25,female,1,yes,no,yes,fiber optic,no,no,no,no,yes,yes,2015,9,1,1
one year,yes,mailed check,55.85,937.5,female,0,no,yes,yes,dsl,no,no,yes,no,no,no,2018,8,1,2
month-to-month,yes,credit card,85.8,1727.5,female,1,no,no,yes,fiber optic,no,no,no,no,no,yes,2018,5,1,1
one year,no,mailed check,19.15,124.4,male,0,no,no,no,no,no,no,no,no,no,no,2019,8,1,3
two year,no,electronic check,89.65,5308.7,female,0,no,no,yes,dsl,yes,yes,yes,yes,yes,yes,2015,1,1,3
one year,yes,bank transfer,83.65,5733.4,female,0,yes,yes,yes,fiber optic,no,yes,no,yes,no,no,2014,6,1,6
month-to-month,yes,electronic check,105.1,3634.8,female,0,no,no,no,fiber optic,no,yes,yes,yes,yes,yes,2017,4,1,5
month-to-month,yes,electronic check,85.95,1215.65,female,0,no,no,yes,fiber optic,no,no,no,no,no,yes,2019,1,1,1
month-to-month,yes,mailed check,20.25,20.25,female,0,no,no,no,no,no,no,no,no,no,no,2019,12,1,6
one year,no,electronic check,19.9,666.0,male,0,yes,yes,no,no,no,no,no,no,no,no,2017,3,1,2
two year,yes,credit card,102.65,7550.3,male,1,yes,no,yes,fiber optic,yes,yes,yes,no,no,yes,2014,2,1,5
month-to-month,yes,electronic check,74.2,140.1,male,1,yes,no,no,fiber optic,no,no,yes,no,no,no,2019,12,1,6
month-to-month,no,bank transfer,19.45,227.45,female,0,no,no,no,no,no,no,no,no,no,no,2019,2,1,4
two year,yes,bank transfer,75.75,5388.15,male,0,yes,yes,no,dsl,yes,yes,yes,yes,yes,no,2014,5,1,3
month-to-month,yes,bank transfer,104.9,5913.95,male,1,no,no,yes,fiber optic,no,yes,no,yes,yes,yes,2015,5,1,4
month-to-month,yes,electronic check,70.3,2416.55,female,0,yes,no,no,fiber optic,no,no,no,no,no,no,2017,2,1,2
two year,no,bank transfer,86.9,6194.1,male,0,yes,yes,yes,dsl,yes,no,yes,yes,yes,yes,2014,5,1,3
month-to-month,no,bank transfer,45.2,1841.9,female,0,no,yes,no,dsl,no,no,no,no,no,no,2016,9,1,3
two year,yes,bank transfer,21.3,1041.8,female,0,yes,yes,no,no,no,no,no,no,no,no,2016,3,1,1
one year,no,credit card,79.85,4786.1,female,0,no,no,yes,dsl,yes,yes,yes,yes,no,yes,2015,3,1,6
two year,no,mailed check,19.35,309.25,female,0,yes,yes,no,no,no,no,no,no,no,no,2018,8,1,2
one year,no,electronic check,80.8,3132.75,male,0,yes,no,no,fiber optic,no,yes,yes,no,no,no,2016,10,1,5
month-to-month,yes,electronic check,69.8,146.65,male,0,no,no,no,fiber optic,no,no,no,no,no,no,2019,12,1,6
one year,yes,credit card,101.05,6770.5,male,0,yes,yes,yes,fiber optic,no,yes,no,no,yes,yes,2014,6,1,6
two year,yes,credit card,19.55,1462.05,female,1,yes,no,no,no,no,no,no,no,no,no,2014,4,1,1
two year,yes,bank transfer,84.05,6052.25,female,0,yes,no,yes,fiber optic,yes,yes,no,no,no,no,2014,2,1,5
month-to-month,yes,credit card,70.4,154.8,female,0,yes,no,no,fiber optic,no,no,no,no,no,no,2019,12,1,6
one year,no,mailed check,20.6,233.9,female,0,yes,yes,no,no,no,no,no,no,no,no,2019,3,1,4
two year,yes,credit card,24.95,1468.9,female,0,yes,yes,yes,no,no,no,no,no,no,no,2015,6,1,0
one year,yes,bank transfer,90.6,3358.65,male,0,no,no,yes,dsl,yes,yes,yes,yes,yes,yes,2017,1,1,6
month-to-month,yes,credit card,80.55,1406.65,male,0,no,yes,yes,fiber optic,no,no,yes,no,no,no,2018,8,1,2
month-to-month,yes,electronic check,84.75,1651.95,male,0,no,no,yes,fiber optic,yes,no,yes,no,no,no,2018,7,1,6
month-to-month,yes,electronic check,83.45,3147.15,female,1,yes,no,no,fiber optic,yes,no,no,no,no,yes,2016,12,1,3
one year,yes,electronic check,100.55,5514.95,male,0,yes,no,yes,fiber optic,yes,no,no,no,yes,yes,2015,6,1,0
one year,yes,credit card,68.95,2038.7,female,0,no,no,yes,dsl,no,yes,yes,no,yes,no,2017,8,1,1
two year,no,credit card,88.7,6501.35,male,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes,2014,2,1,5
one year,yes,bank transfer,20.2,140.95,female,0,no,no,no,no,no,no,no,no,no,no,2019,6,1,5
two year,yes,bank transfer,104.05,5566.4,female,0,yes,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,2015,9,1,1
one year,yes,electronic check,94.65,4312.5,male,0,yes,no,yes,fiber optic,no,yes,yes,no,yes,no,2016,4,1,4
month-to-month,no,mailed check,20.7,112.75,female,0,no,no,no,no,no,no,no,no,no,no,2019,8,1,3
month-to-month,yes,electronic check,94.2,777.3,female,0,yes,yes,no,fiber optic,no,no,yes,no,yes,yes,2019,5,1,2
one year,yes,electronic check,98.25,5508.35,female,0,yes,no,yes,fiber optic,no,yes,no,no,yes,yes,2015,5,1,4
month-to-month,yes,electronic check,59.9,788.35,male,1,no,no,no,dsl,no,yes,no,no,yes,no,2019,1,1,1
month-to-month,yes,credit card,110.1,4469.1,male,0,yes,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,2016,10,1,5
one year,yes,electronic check,94.05,5483.9,female,1,yes,no,yes,fiber optic,yes,yes,yes,yes,no,no,2015,3,1,6
one year,no,mailed check,103.05,5153.5,female,0,yes,yes,no,fiber optic,no,no,yes,yes,yes,yes,2015,12,1,1
two year,no,mailed check,79.2,3593.8,female,0,no,no,yes,dsl,yes,no,yes,no,yes,yes,2016,4,1,4
month-to-month,no,electronic check,64.8,1166.7,female,0,no,yes,yes,dsl,yes,no,no,no,no,yes,2018,8,1,2
month-to-month,no,credit card,80.8,332.45,male,0,no,yes,yes,fiber optic,no,no,no,yes,no,no,2019,9,1,6
two year,yes,credit card,64.15,4254.1,female,0,yes,yes,yes,dsl,yes,no,yes,yes,no,no,2014,5,1,3
month-to-month,no,electronic check,80.85,1400.85,male,0,yes,yes,no,fiber optic,no,no,no,no,yes,no,2018,8,1,2
month-to-month,yes,electronic check,78.85,1772.25,male,1,yes,no,yes,fiber optic,yes,no,no,no,no,no,2018,1,1,0
one year,no,electronic check,84.45,4959.15,female,1,no,no,yes,fiber optic,no,no,no,no,yes,no,2014,12,1,0
month-to-month,no,electronic check,20.85,473.9,male,0,no,no,no,no,no,no,no,no,no,no,2018,3,1,3
month-to-month,yes,credit card,85.3,781.4,female,0,no,no,no,fiber optic,no,no,yes,no,no,yes,2019,5,1,2
month-to-month,yes,electronic check,85.95,2107.15,male,0,no,no,no,fiber optic,no,yes,yes,yes,no,no,2018,2,1,3
two year,yes,credit card,25.95,1801.9,female,0,yes,no,yes,no,no,no,no,no,no,no,2014,3,1,5
month-to-month,yes,electronic check,45.15,98.5,male,0,no,no,no,dsl,no,no,no,no,no,no,2019,11,1,4
one year,no,credit card,60.5,3870.0,female,0,no,no,no,dsl,yes,yes,no,yes,no,no,2014,7,1,1
one year,no,electronic check,69.45,477.05,female,0,yes,yes,no,dsl,yes,yes,yes,no,yes,no,2019,7,1,0
month-to-month,yes,electronic check,78.75,995.35,female,0,no,no,yes,dsl,yes,no,yes,no,yes,yes,2019,1,1,1
one year,no,electronic check,94.7,5468.95,female,0,no,no,yes,fiber optic,no,yes,no,yes,no,yes,2015,5,1,4
month-to-month,yes,credit card,91.95,3301.05,female,1,yes,no,yes,fiber optic,no,yes,no,no,yes,no,2017,2,1,2
two year,yes,credit card,90.05,5965.95,female,0,no,no,yes,dsl,yes,yes,yes,yes,yes,yes,2014,8,1,4
month-to-month,yes,mailed check,59.05,1253.5,female,0,no,no,yes,dsl,yes,no,no,yes,no,no,2018,4,1,6
month-to-month,no,electronic check,95.4,293.15,female,0,no,no,no,fiber optic,no,yes,no,no,yes,yes,2019,11,1,4
two year,no,bank transfer,19.75,1375.4,female,0,yes,yes,no,no,no,no,no,no,no,no,2014,5,1,3
two year,yes,credit card,104.9,7732.65,male,0,yes,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,2014,2,1,5
month-to-month,yes,electronic check,93.5,2341.55,female,0,no,no,yes,fiber optic,no,no,no,no,yes,yes,2018,3,1,3
month-to-month,yes,electronic check,74.55,3015.75,male,0,yes,yes,yes,dsl,no,no,yes,no,yes,yes,2016,10,1,5
two year,no,mailed check,84.7,5991.05,female,0,no,no,yes,dsl,yes,yes,yes,no,yes,yes,2014,4,1,1
month-to-month,yes,electronic check,90.85,6470.1,female,1,yes,no,yes,fiber optic,yes,no,no,no,no,yes,2014,4,1,1
one year,yes,electronic check,69.95,220.45,female,0,no,no,no,dsl,no,no,yes,no,yes,yes,2019,11,1,4
two year,yes,credit card,110.05,7430.75,male,0,no,no,yes,fiber optic,yes,yes,yes,no,yes,yes,2014,5,1,3
month-to-month,yes,electronic check,89.5,573.3,female,0,no,no,no,fiber optic,no,no,no,no,yes,yes,2019,7,1,0
two year,no,bank transfer,92.0,6632.75,male,0,no,no,yes,dsl,yes,yes,yes,yes,yes,yes,2014,2,1,5
two year,no,bank transfer,86.15,5883.85,female,0,yes,no,yes,dsl,no,yes,yes,yes,yes,yes,2014,7,1,1
two year,yes,bank transfer,24.9,467.7,female,0,yes,yes,yes,no,no,no,no,no,no,no,2018,7,1,6
two year,no,credit card,71.05,1524.85,female,0,no,no,no,dsl,yes,yes,no,yes,yes,no,2018,5,1,1
month-to-month,yes,electronic check,103.95,2964.8,male,1,yes,yes,yes,fiber optic,no,no,yes,no,yes,yes,2017,9,1,4
month-to-month,yes,electronic check,74.2,1993.25,female,0,no,no,yes,fiber optic,no,no,no,no,no,no,2017,9,1,4
month-to-month,yes,electronic check,95.15,2395.7,female,0,yes,no,no,fiber optic,no,no,no,yes,yes,yes,2018,1,1,0
month-to-month,yes,credit card,103.65,5676.65,female,0,yes,no,yes,fiber optic,no,yes,yes,no,yes,yes,2015,7,1,2
month-to-month,yes,bank transfer,20.7,39.85,female,0,no,no,no,no,no,no,no,no,no,no,2019,12,1,6
one year,yes,electronic check,96.75,6125.4,male,0,no,no,yes,fiber optic,no,no,yes,no,yes,yes,2014,11,1,5
month-to-month,yes,electronic check,20.0,377.55,male,0,no,yes,no,no,no,no,no,no,no,no,2018,7,1,6
month-to-month,no,mailed check,20.65,158.95,female,0,yes,yes,no,no,no,no,no,no,no,no,2019,7,1,0
month-to-month,yes,credit card,75.3,2263.4,male,0,yes,no,no,fiber optic,no,no,yes,no,no,no,2017,9,1,4
one year,yes,credit card,70.8,3478.15,female,0,no,yes,no,dsl,yes,no,yes,yes,yes,no,2015,12,1,1
two year,yes,bank transfer,111.2,7530.8,male,0,yes,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,2014,7,1,1
one year,no,bank transfer,75.1,2658.8,female,0,yes,yes,no,dsl,yes,yes,no,no,yes,yes,2017,1,1,6
two year,no,credit card,25.0,1584.8,female,0,yes,no,yes,no,no,no,no,no,no,no,2014,10,1,2
month-to-month,yes,electronic check,74.85,572.45,male,0,no,no,yes,fiber optic,no,no,no,no,no,no,2019,6,1,5
month-to-month,yes,bank transfer,66.15,2522.4,female,0,no,no,yes,dsl,yes,yes,yes,no,no,no,2016,12,1,3
month-to-month,no,bank transfer,20.2,50.6,male,0,no,yes,no,no,no,no,no,no,no,no,2019,11,1,4
month-to-month,no,bank transfer,19.9,601.55,female,0,no,no,no,no,no,no,no,no,no,no,2017,6,1,3
month-to-month,no,mailed check,60.65,196.9,male,0,no,no,no,dsl,no,no,no,yes,no,yes,2019,11,1,4
month-to-month,yes,electronic check,94.85,953.45,female,0,no,no,yes,fiber optic,no,yes,yes,no,no,yes,2019,3,1,4
month-to-month,no,mailed check,85.8,85.8,female,0,no,no,yes,fiber optic,no,no,no,no,no,yes,2019,12,1,6
month-to-month,yes,electronic check,95.2,292.85,female,0,yes,no,yes,fiber optic,no,no,no,no,yes,yes,2019,10,1,1
two year,no,credit card,81.25,4620.4,female,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,no,2015,6,1,0
month-to-month,yes,credit card,73.8,4003.85,female,1,no,no,no,fiber optic,no,yes,no,no,no,no,2015,9,1,1
one year,no,credit card,58.55,3503.5,female,0,no,no,no,dsl,no,no,yes,no,no,yes,2014,11,1,5
two year,no,mailed check,55.25,1924.1,male,0,no,no,yes,dsl,yes,no,no,no,no,no,2017,3,1,2
month-to-month,no,mailed check,69.2,944.65,male,0,yes,yes,yes,dsl,yes,yes,no,no,no,yes,2018,12,1,5
month-to-month,no,mailed check,19.9,283.75,male,0,no,no,no,no,no,no,no,no,no,no,2018,12,1,5
month-to-month,yes,electronic check,93.8,4539.35,female,0,yes,yes,yes,fiber optic,yes,yes,no,no,no,yes,2015,11,1,6
one year,no,bank transfer,55.9,3848.8,female,0,yes,no,no,dsl,yes,no,no,yes,no,no,2014,6,1,6
two year,yes,electronic check,99.65,5941.05,female,0,no,no,no,fiber optic,no,yes,yes,no,yes,yes,2015,2,1,6
two year,no,bank transfer,20.4,478.75,female,0,yes,yes,no,no,no,no,no,no,no,no,2018,3,1,3
two year,no,bank transfer,82.3,5815.15,male,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,no,2014,2,1,5
month-to-month,no,electronic check,89.85,248.4,male,0,yes,yes,no,fiber optic,yes,yes,no,no,yes,no,2019,11,1,4
month-to-month,no,mailed check,19.7,113.5,female,0,yes,yes,no,no,no,no,no,no,no,no,2019,8,1,3
two year,yes,bank transfer,19.75,246.7,female,0,yes,yes,no,no,no,no,no,no,no,no,2019,1,1,1
one year,no,bank transfer,19.9,942.95,male,0,yes,no,no,no,no,no,no,no,no,no,2016,3,1,1
one year,no,mailed check,19.65,228.65,male,1,yes,no,no,no,no,no,no,no,no,no,2018,12,1,5
two year,yes,bank transfer,77.15,1759.4,female,0,yes,yes,yes,dsl,yes,no,yes,yes,yes,no,2018,3,1,3
